text,eID,event,fact_value,relative_source,sourcePhrase
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e39,eligible,CT+,aide_AUTHOR,an aide to U.S. Trade Representative Carla Hills
https://w3id.org/provcorp/np/protected/text/wsj_0026.RAqVDliQg7089ljabZboxeufk6O0UJHuDiETOmVwpKtL4#text,e40,according,CT+,AUTHOR,an aide to U.S. Trade Representative Carla Hills
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e1,resigned,CT+,company_AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e1,resigned,Uu,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e10,reduce,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e10,reduce,Uu,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e11,curb,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e11,curb,Uu,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e12,spending,CT+,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e12,spending,CT+,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e14,achieved,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e14,achieved,Uu,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e15,maintained,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e15,maintained,Uu,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e16,said,CT+,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e2,stepping,CT+,company_AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e2,stepping,Uu,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e25,reported,CT+,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e289,restructuring,CT+,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e289,restructuring,CT+,company_AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e35,said,CT+,AUTHOR,Analysts
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e36,wants,CT+,Analysts_AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e36,wants,Uu,AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e38,resume,Uu,AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e38,resume,Uu,Analysts_AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e41,running,CT+,Analysts_AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e41,running,Uu,AUTHOR,Analysts Mr. Stronach
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e42,expect,CT+,AUTHOR,They
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e44,cut,PR+,They_AUTHOR,They
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e44,cut,Uu,AUTHOR,They
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e45,said,CT+,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e46,direct,CT+,company_AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e46,direct,Uu,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e47,assisted,CT+,company_AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e47,assisted,Uu,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e5,help,Uu,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e5,help,Uu,company_AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e51,said,CT+,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e52,resigned,CT+,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e52,resigned,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e54,pursue,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e54,pursue,Uu,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e6,said,CT+,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e60,turn,Uu,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e60,turn,Uu,company_AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e62,declines,CT+,company_AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e62,declines,Uu,AUTHOR,The company
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e7,direct,CT+,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e7,direct,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e8,effort,CT+,Magna_AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0027.RAwIBPvHEIUT6i5Xbb_c5ikPmWNR1GQrBB_u3mEzENcTY#text,e8,effort,Uu,AUTHOR,Magna
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e3,said,CT+,AUTHOR,"The Kearny , N.J.-based maker of hair accessories and other cosmetic products"
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e4,cut,CT+,maker_AUTHOR,"The Kearny , N.J.-based maker of hair accessories and other cosmetic products"
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e4,cut,Uu,AUTHOR,"The Kearny , N.J.-based maker of hair accessories and other cosmetic products"
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e5,loss,CT+,AUTHOR,"The Kearny , N.J.-based maker of hair accessories and other cosmetic products"
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e5,loss,CT+,maker_AUTHOR,"The Kearny , N.J.-based maker of hair accessories and other cosmetic products"
https://w3id.org/provcorp/np/protected/text/wsj_0068.RAAajUMVik9cKzahSirbarPrUcXNaGAbkq0NHMzy2D4v4#text,e6,reported,CT+,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1,said,CT+,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e15,said,CT+,AUTHOR,"Integra , which owns and operates hotels"
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e16,agreed,CT+,Integra_AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e16,agreed,Uu,AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e17,exercise,Uu,AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e17,exercise,Uu,Integra_AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e18,exercised,CT-,Integra_AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e18,exercised,Uu,AUTHOR,"Integra , which owns and operates hotels Hallwood Group Inc."
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1995,offering,CT+,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1995,offering,CT+,Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1995,offering,CT+,GEN_AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1995,offering,CT+,GEN_Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e1996,mailing,Uu,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2,raise,Uu,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2,raise,Uu,Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2,raise,Uu,GEN_AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2,raise,Uu,GEN_Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2044,planned,CT+,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2044,planned,CT+,Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2044,planned,CT+,GEN_AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e2044,planned,CT+,GEN_Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e3,declared,CT+,Co._AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e3,declared,Uu,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0073.RAw2-0fxwxRq5yhBYseOxBHp2gsbwEvd_xityrjYG0rvg#text,e4,begin,CT+,AUTHOR,Integra-A Hotel & Restaurant Co.
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e1,said,CT+,AUTHOR,ROGERS COMMUNICATIONS Inc.
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e11,option,CT+,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e11,option,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e13,redeem,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e13,redeem,Uu,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e14,conversion,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e14,conversion,Uu,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e16,takes,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e16,takes,Uu,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e17,said,CT+,AUTHOR,A spokesman for the Toronto cable television and telecommunications concern
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e18,fixed,CT-,spokesman_AUTHOR,A spokesman for the Toronto cable television and telecommunications concern
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e18,fixed,Uu,AUTHOR,A spokesman for the Toronto cable television and telecommunications concern
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e2,plans,CT+,Inc._AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e2,plans,Uu,AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e20,set,PR+,spokesman_AUTHOR,A spokesman for the Toronto cable television and telecommunications concern
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e20,set,Uu,AUTHOR,A spokesman for the Toronto cable television and telecommunications concern
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e21,declined,CT+,AUTHOR,He
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e23,discuss,CT-,AUTHOR,He
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e27,convertible,CT+,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e27,convertible,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e29,has,CT+,Rogers_AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e29,has,Uu,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e4,raise,PR+,Inc._AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e4,raise,Uu,AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e5,placement,CT+,Inc._AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e5,placement,Uu,AUTHOR,ROGERS COMMUNICATIONS Inc. it
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e7,said,CT+,AUTHOR,the company
https://w3id.org/provcorp/np/protected/text/wsj_0106.RANkA5vcpEBTWNjdi6GELsfrgazGJzmwbzc4UiMfy7B68#text,e8,said,CT+,AUTHOR,Rogers
https://w3id.org/provcorp/np/protected/text/wsj_0122.RA8sosUoMNH6Mn7buuTUaizUYvxlvQJnhubLQ4eMqk3yg#text,e1,said,CT+,AUTHOR,"Young 's Market Co. , a wholesaler of spirits wines and other goods"
https://w3id.org/provcorp/np/protected/text/wsj_0122.RA8sosUoMNH6Mn7buuTUaizUYvxlvQJnhubLQ4eMqk3yg#text,e10,approved,CT+,family_AUTHOR,The Underwood family
https://w3id.org/provcorp/np/protected/text/wsj_0122.RA8sosUoMNH6Mn7buuTUaizUYvxlvQJnhubLQ4eMqk3yg#text,e10,approved,Uu,AUTHOR,The Underwood family
https://w3id.org/provcorp/np/protected/text/wsj_0122.RA8sosUoMNH6Mn7buuTUaizUYvxlvQJnhubLQ4eMqk3yg#text,e11,agreement,CT+,AUTHOR,the agreement
